min,sec,tag
105,39,211202_Nonstop_left_low_109 [14]
107,30,211202_Nonstop_left_low_110 [5]
107,47,211202_Nonstop_left_low_111 [8]
108,0,211202_Nonstop_left_low_112 [17]
108,27,211202_Nonstop_left_low_113 [14]
109,34,211202_Nonstop_left_low_114 [8]
110,0,211202_Nonstop_left_low_115 [4]
110,46,211202_Nonstop_left_low_116 [5]
110,53,211202_Nonstop_left_low_117 [5]
111,13,211202_Nonstop_left_low_118 [16]
112,31,211202_Nonstop_left_low_119 [14]
112,53,211202_Nonstop_left_low_120 [23]
113,18,211202_Nonstop_left_low_121 [11]
113,32,211202_Nonstop_left_low_122 [8]
114,19,211202_Nonstop_left_low_123 [20]
